coda_russian_wordforms	frequency
V	2700472
N	610765
O	603726
J	584707
W	51161
L	23757
O-O	9329
R	4536
N-O	1399
O-N	1371
R-O	1041
O-R	631
L-O	335
O-O-W	283
J-O	216
R-N	202
O-L	190
O-O-O-W	182
N-O-O-W	163
R-O-O-W	162
N-N	161
L-O-O-W	157
N-O-O	135
J-N	130
L-L	121
R-O-O	87
N-O-R	80
J-O-O-W	74
O-O-R	73
O-O-O	62
L-N	51
W-R	47
J-L	42
O-W	41
R-L	37
W-O-O	36
J-O-O	33
W-O	31
L-O-O	25
R-W	21
L-O-R	20
N-O-O-O-W	19
W-O-O-W	16
J-N-O	16
O-N-O	14
J-R	13
O-O-L	11
R-O-L	10
N-R	9
R-R	7
O-O-N	7
L-W	7
J-W	6
W-L	6
R-O-W	6
N-O-L	5
N-L	4
O-J	4
J-O-L	3
R-J	3
W-N	3
R-O-O-O	2
N-O-W	2
L-O-L	2
N-J	2
L-J	2
O-R-O-O	2
L-O-O-O	2
O-O-R-O	2
W-W	2
N-O-O-O-O-W	1
R-O-N	1
L-O-W	1
N-O-N	1
R-O-O-O-W	1
N-O-O-R	1
L-N-O	1
R-L-O	1
O-O-O-R	1
R-N-O-O	1