onset_russian_wordforms	frequency
O	1743715
V	905938
O-R	474946
N	394243
R	275621
W	256057
O-O	131500
O-L	89947
L	57126
O-W	51606
O-N	39740
W-O	33388
O-O-R	32358
W-O-O	18477
O-O-L	11913
W-N	8694
W-O-R	7923
O-O-W	5934
W-O-O-R	5867
N-N	5551
W-O-W	5524
W-W	5444
W-L	5214
W-O-L	4866
W-R	4672
W-O-N	4345
O-J	2632
W-O-O-L	2099
R-O	1178
N-R	1139
W-O-J	1117
O-O-N	1067
N-O	821
J	785
L-N	744
R-W	715
L-O	707
W-O-O-W	608
N-L	456
W-J	407
N-O-O	250
L-O-O	208
L-W	176
O-O-O	145
N-O-L	106
O-N-R	63
N-O-N	49
R-J	49
O-R-N	43
L-J	43
O-L-O	43
O-N-N	24
O-N-L	4
O-O-J	2